2021-10-02 03:15:57,381 INFO: Opening input stream.
2021-10-02 03:15:57,415 INFO: ('2021-10-02T08:15:57.415331', 1136)
2021-10-02 03:15:57,445 INFO: ('2021-10-02T08:15:57.445589', 1136)
2021-10-02 03:15:57,464 INFO: ('2021-10-02T08:15:57.464869', 1136)
2021-10-02 03:15:57,495 INFO: ('2021-10-02T08:15:57.495314', 1136)
2021-10-02 03:15:57,515 INFO: ('2021-10-02T08:15:57.515467', 1136)
2021-10-02 03:15:57,544 INFO: ('2021-10-02T08:15:57.544765', 1136)
2021-10-02 03:15:57,575 INFO: ('2021-10-02T08:15:57.575276', 1136)
2021-10-02 03:15:57,595 INFO: ('2021-10-02T08:15:57.595272', 1136)
2021-10-02 03:15:57,624 INFO: ('2021-10-02T08:15:57.624801', 1136)
2021-10-02 03:15:57,645 INFO: ('2021-10-02T08:15:57.645620', 1136)
2021-10-02 03:15:57,675 INFO: ('2021-10-02T08:15:57.675453', 1136)
2021-10-02 03:15:57,695 INFO: ('2021-10-02T08:15:57.694797', 1136)
2021-10-02 03:15:57,724 INFO: ('2021-10-02T08:15:57.724829', 1136)
2021-10-02 03:15:57,756 INFO: ('2021-10-02T08:15:57.756200', 1136)
2021-10-02 03:15:57,776 INFO: ('2021-10-02T08:15:57.776203', 1136)
2021-10-02 03:15:57,805 INFO: ('2021-10-02T08:15:57.805630', 1136)
2021-10-02 03:15:57,825 INFO: ('2021-10-02T08:15:57.825406', 1136)
2021-10-02 03:15:57,855 INFO: ('2021-10-02T08:15:57.855430', 1136)
2021-10-02 03:15:57,885 INFO: ('2021-10-02T08:15:57.885728', 1136)
2021-10-02 03:15:57,905 INFO: ('2021-10-02T08:15:57.905363', 1136)
2021-10-02 03:15:57,935 INFO: ('2021-10-02T08:15:57.935638', 1136)
2021-10-02 03:15:57,955 INFO: ('2021-10-02T08:15:57.955445', 1136)
2021-10-02 03:15:57,984 INFO: ('2021-10-02T08:15:57.984923', 1136)
2021-10-02 03:15:58,005 INFO: ('2021-10-02T08:15:58.005641', 1136)
2021-10-02 03:15:58,035 INFO: ('2021-10-02T08:15:58.035422', 1136)
2021-10-02 03:15:58,065 INFO: ('2021-10-02T08:15:58.065321', 1136)
2021-10-02 03:15:58,085 INFO: ('2021-10-02T08:15:58.085357', 1136)
2021-10-02 03:15:58,115 INFO: ('2021-10-02T08:15:58.115786', 1136)
2021-10-02 03:15:58,135 INFO: ('2021-10-02T08:15:58.135606', 1136)
2021-10-02 03:15:58,165 INFO: ('2021-10-02T08:15:58.165113', 1136)
2021-10-02 03:15:58,186 INFO: ('2021-10-02T08:15:58.186274', 1136)
2021-10-02 03:15:58,215 INFO: ('2021-10-02T08:15:58.215984', 1136)
2021-10-02 03:15:58,245 INFO: ('2021-10-02T08:15:58.245562', 1136)
2021-10-02 03:15:58,266 INFO: ('2021-10-02T08:15:58.266015', 1136)
2021-10-02 03:15:58,295 INFO: ('2021-10-02T08:15:58.295435', 1136)
2021-10-02 03:15:58,316 INFO: ('2021-10-02T08:15:58.316116', 1136)
2021-10-02 03:15:58,345 INFO: ('2021-10-02T08:15:58.345638', 1136)
2021-10-02 03:15:58,365 INFO: ('2021-10-02T08:15:58.365573', 1136)
2021-10-02 03:15:58,397 INFO: ('2021-10-02T08:15:58.397454', 1136)
2021-10-02 03:15:58,426 INFO: ('2021-10-02T08:15:58.426745', 1136)
2021-10-02 03:15:58,447 INFO: ('2021-10-02T08:15:58.447683', 1136)
2021-10-02 03:15:58,476 INFO: ('2021-10-02T08:15:58.476680', 1136)
2021-10-02 03:15:58,497 INFO: ('2021-10-02T08:15:58.497499', 1136)
2021-10-02 03:15:58,527 INFO: ('2021-10-02T08:15:58.527444', 1136)
2021-10-02 03:15:58,546 INFO: ('2021-10-02T08:15:58.546447', 1136)
2021-10-02 03:15:58,577 INFO: ('2021-10-02T08:15:58.577269', 1136)
2021-10-02 03:15:58,607 INFO: ('2021-10-02T08:15:58.607446', 1136)
2021-10-02 03:15:58,624 INFO: ('2021-10-02T08:15:58.624890', 1136)
2021-10-02 03:15:58,655 INFO: ('2021-10-02T08:15:58.655338', 1136)
2021-10-02 03:15:58,675 INFO: ('2021-10-02T08:15:58.675409', 1136)
2021-10-02 03:15:58,705 INFO: ('2021-10-02T08:15:58.705369', 1136)
2021-10-02 03:15:58,736 INFO: ('2021-10-02T08:15:58.736267', 1136)
2021-10-02 03:15:58,755 INFO: ('2021-10-02T08:15:58.755269', 1136)
2021-10-02 03:15:58,785 INFO: ('2021-10-02T08:15:58.785267', 1136)
2021-10-02 03:15:58,806 INFO: ('2021-10-02T08:15:58.806266', 1136)
2021-10-02 03:15:58,836 INFO: ('2021-10-02T08:15:58.836282', 1136)
2021-10-02 03:15:58,856 INFO: ('2021-10-02T08:15:58.856267', 1136)
2021-10-02 03:15:58,885 INFO: ('2021-10-02T08:15:58.885271', 1136)
2021-10-02 03:15:58,915 INFO: ('2021-10-02T08:15:58.915272', 1136)
2021-10-02 03:15:58,936 INFO: ('2021-10-02T08:15:58.936271', 1136)
2021-10-02 03:15:58,965 INFO: ('2021-10-02T08:15:58.965269', 1136)
2021-10-02 03:15:58,986 INFO: ('2021-10-02T08:15:58.986270', 1136)
2021-10-02 03:15:59,015 INFO: ('2021-10-02T08:15:59.015267', 1136)
2021-10-02 03:15:59,035 INFO: ('2021-10-02T08:15:59.035266', 1136)
2021-10-02 03:15:59,065 INFO: ('2021-10-02T08:15:59.065267', 1136)
2021-10-02 03:15:59,096 INFO: ('2021-10-02T08:15:59.096267', 1136)
2021-10-02 03:15:59,115 INFO: ('2021-10-02T08:15:59.115329', 1136)
2021-10-02 03:15:59,145 INFO: ('2021-10-02T08:15:59.145349', 1136)
2021-10-02 03:15:59,165 INFO: ('2021-10-02T08:15:59.165714', 1136)
2021-10-02 03:15:59,195 INFO: ('2021-10-02T08:15:59.195836', 1136)
2021-10-02 03:15:59,215 INFO: ('2021-10-02T08:15:59.215350', 1136)
2021-10-02 03:15:59,245 INFO: ('2021-10-02T08:15:59.245575', 1136)
2021-10-02 03:15:59,275 INFO: ('2021-10-02T08:15:59.275316', 1136)
2021-10-02 03:15:59,295 INFO: ('2021-10-02T08:15:59.295524', 1136)
2021-10-02 03:15:59,326 INFO: ('2021-10-02T08:15:59.326144', 1136)
2021-10-02 03:15:59,345 INFO: ('2021-10-02T08:15:59.345284', 1136)
2021-10-02 03:15:59,375 INFO: ('2021-10-02T08:15:59.375564', 1136)
2021-10-02 03:15:59,395 INFO: ('2021-10-02T08:15:59.395533', 1136)
2021-10-02 03:15:59,425 INFO: ('2021-10-02T08:15:59.425525', 1136)
2021-10-02 03:15:59,455 INFO: ('2021-10-02T08:15:59.455831', 1136)
2021-10-02 03:15:59,475 INFO: ('2021-10-02T08:15:59.475296', 1136)
2021-10-02 03:15:59,505 INFO: ('2021-10-02T08:15:59.505300', 1136)
2021-10-02 03:15:59,525 INFO: ('2021-10-02T08:15:59.525266', 1136)
2021-10-02 03:15:59,555 INFO: ('2021-10-02T08:15:59.555939', 1136)
2021-10-02 03:15:59,586 INFO: ('2021-10-02T08:15:59.586573', 1136)
2021-10-02 03:15:59,606 INFO: ('2021-10-02T08:15:59.606484', 1136)
2021-10-02 03:15:59,635 INFO: ('2021-10-02T08:15:59.634830', 1136)
2021-10-02 03:15:59,655 INFO: ('2021-10-02T08:15:59.655847', 1136)
2021-10-02 03:15:59,684 INFO: ('2021-10-02T08:15:59.684991', 1136)
2021-10-02 03:15:59,706 INFO: ('2021-10-02T08:15:59.706008', 1136)
